,T=0.05,T=0.1,T=0.15,T=0.2,T=0.25,T=0.3,T=0.35,T=0.4,T=0.45,T=0.5,T=0.55,T=0.6,T=0.65,T=0.7,T=0.75,T=0.8,T=0.85,T=0.9,T=0.95,T=1.0,T=1.05,T=1.1,T=1.15,T=1.2,T=1.25,T=1.3,T=1.35,T=1.4,T=1.45,T=1.5,T=1.55,T=1.6,T=1.65,T=1.7,T=1.75,T=1.8,T=1.85,T=1.9,T=1.95,T=2.0,T=2.05,T=2.1,T=2.15,T=2.2,T=2.25,T=2.3,T=2.35,T=2.4,T=2.45,T=2.5,T=2.55,T=2.6,T=2.65,T=2.7,T=2.75,T=2.8,T=2.85,T=2.9,T=2.95,T=3.0,T=3.05,T=3.1,T=3.15,T=3.2,T=3.25,T=3.3,T=3.35,T=3.4,T=3.45,T=3.5,T=3.55,T=3.6,T=3.65,T=3.7,T=3.75,T=3.8,T=3.85,T=3.9,T=3.95,T=4.0,T=4.05,T=4.1,T=4.15,T=4.2,T=4.25,T=4.3,T=4.35,T=4.4,T=4.45,T=4.5,T=4.55,T=4.6,T=4.65,T=4.7,T=4.75,T=4.8,T=4.85,T=4.9,T=4.95,T=5.0
0,4.425115426151311,4.480125456617062,4.555611246667999,4.566301221714414,4.555795151038718,4.533544795982663,4.312393088038219,4.535298236216917,4.492821705285127,4.395800537771048,4.506959525754988,4.682302449590563,4.617173970641664,4.6306384575771276,4.522306303257911,4.497999364840635,4.512135818011935,4.284631890998357,4.36859976921483,4.3506322719677515,4.393261528999231,4.418634389707086,4.424740692274705,4.476233797174176,4.530527842797915,4.390081836819122,4.547750861107706,4.402501636523029,4.523274432915712,4.430196820808651,4.444542579653912,4.610738393102603,4.529890996908314,4.598533261984207,4.611814511285499,4.446027622720575,4.458491237970762,4.581120266332942,4.534869525672438,4.581793728303418,4.435751256911615,4.536453365766911,4.626309070810917,4.553269408187105,4.313979172969278,4.506710467436709,4.546109674132011,4.592914268526262,4.757313086751995,4.577191850757945,4.462267739067605,4.654046237543667,4.470663168805236,4.602252399281371,4.5061018241602975,4.497908581338928,4.356495053542746,4.683252669529566,4.6128391731886795,4.575356588864783,4.5198535875980115,4.3528242369539045,4.48289611857505,4.648198890610204,4.693361105732848,4.630694850626817,4.422542638909266,4.477445369940826,4.481608482770729,4.5671181969681856,4.540825360628933,4.5577889261700895,4.288228732982442,4.3108085069224416,4.475714812173868,4.375336310286091,4.4132995386377605,4.6279293174547895,4.586892516671009,4.597043065276091,4.393236830031572,4.553398100514619,4.57306607088486,4.4730367921292356,4.4592438296476535,4.634703911469337,4.515072188634107,4.561489201329881,4.39857292980747,4.664903231588628,4.560371424864313,4.486740240354254,4.471976248660961,4.622104047096353,4.424329439673473,4.517560846691917,4.469590189546816,4.538830342591824,4.806490816601782,4.520453012427566
1,4.5687297489341105,4.6162373174977835,4.769107496226942,4.782048247889084,4.748686951727599,4.7520616405072404,4.6942081973998695,4.893072665527654,4.793066171231119,4.729083603272735,4.834006582296995,4.9650546386828935,4.998883337331261,4.924324258793485,4.902319263531339,4.951010019315665,4.928542857231238,4.819888277000119,4.851777438970552,4.85864266841776,4.8226036510191905,4.964942091419313,4.888585065004568,4.911030726985382,5.037334085592783,4.8936427087679455,4.971645775632434,4.943193904484223,4.968461283038633,4.956539635261793,4.9794867999857795,5.0549929843087025,4.95689098817551,5.044014156226882,5.070439851753621,4.880102753047093,4.882901197365903,5.044612722044187,4.938369051802033,5.014442056000177,4.854825307473169,4.947155252331913,5.047529789080876,4.975678571322918,4.784718145404411,4.836847925423894,4.894713244629358,4.932604212781851,5.0253395090678,4.94902930396757,4.822112382955983,4.9804252197789936,4.76742930458643,4.947096149881254,4.810043705830817,4.7750999762697335,4.717913096071296,4.9360006715339315,4.924506269522232,4.81716587647603,4.839245150055241,4.765800052977042,4.774403414949288,4.879308436455933,4.854457463795734,4.813550221018687,4.618786075007437,4.679942041650864,4.762713435913241,4.8043791566972605,4.75516912554461,4.750666470737997,4.6688146180896295,4.585230599515192,4.647488569595127,4.651330671798334,4.707962214321677,4.797317757917299,4.7202591103627265,4.743569155903502,4.5764885059543925,4.673233105015607,4.680180732858943,4.645050567752153,4.600311600837856,4.829515722122431,4.718489762753594,4.707138914474414,4.587704968894791,4.7504816909912195,4.690184107535963,4.709749813827683,4.697737277846532,4.835769935029714,4.6687490508213365,4.72203962442532,4.614674225268276,4.628700300650802,4.784304787809011,4.626396574383005
2,4.648135172950224,4.698215067821324,4.859594819177876,4.885479385835438,4.860408165951437,4.895230940826534,4.859542696254172,5.088882538209163,5.012872357525781,4.947160970626191,5.073663879435679,5.156826573168602,5.22098742672252,5.185442539114392,5.159948560590259,5.209285280443572,5.184101512375234,5.115718046141696,5.19159107815646,5.163505560400066,5.139813931734497,5.315661481536221,5.230214534708519,5.246415013012856,5.33982966761596,5.252501867835843,5.300982058614827,5.285980647825025,5.275284922856692,5.271867449704854,5.315236450149711,5.348283630089902,5.241111672614584,5.299190967637448,5.37874920961147,5.197891736083943,5.224770528594795,5.341473197256975,5.211423913805469,5.286846622384834,5.173560584984449,5.278993821417232,5.348687604190269,5.26746303303992,5.062553449578624,5.16336853425726,5.1438334981281955,5.1951087987918045,5.29593432544926,5.196635491405665,5.067838587184082,5.1976527849028855,5.0293765823525876,5.174409704483704,5.003997077733943,5.0798683819716315,4.973284337705545,5.131909237081213,5.174282631791739,5.051073887592606,5.005952997384963,4.943085646509447,4.9694284217282645,5.05176456248319,5.041183332841934,5.010479928567402,4.899259872223847,4.946028974034699,4.947127167822524,4.944181990461488,4.896750628593372,4.915096062681533,4.874622458318791,4.77738352040213,4.8526194732686125,4.857126935721523,4.902386657926567,4.964655727001796,4.813487477170003,4.934192509816782,4.719006675822594,4.826855715345701,4.809679879655999,4.779765867175067,4.831653403649866,4.940934530230129,4.812156344719997,4.871026410775974,4.7365145791834635,4.929830280315,4.869206453869011,4.797281876610302,4.805007996147444,4.965517300025895,4.77239248912396,4.8412295444956985,4.696491650638015,4.791373317914233,4.882483109378156,4.811905684447777
3,4.699640639390808,4.759406323137091,4.938913657904419,4.978247516246799,4.949435107692019,4.9823087092916465,4.96944185800796,5.201231450262365,5.1450727230077,5.057665048943445,5.2125164476610095,5.308391506587724,5.367927679846091,5.366981312165063,5.333789167380893,5.384912084376937,5.356694771493118,5.331475762410623,5.399293046642608,5.373162418792071,5.37919569811174,5.539534853082199,5.493243810579229,5.51859330549074,5.559537075941257,5.499244532612102,5.525628545009743,5.524328886375152,5.5295696709842055,5.505579211878222,5.550897379109309,5.578359677059791,5.465532245565465,5.509059911549047,5.607844102351062,5.419795699168589,5.451599123367631,5.55721817810737,5.42732121772401,5.495803171498828,5.372945806780905,5.534786716142747,5.5278346538935,5.48005915369914,5.232824897724915,5.362879266882075,5.370413241922717,5.410522084810315,5.443653097805079,5.386089096663013,5.259438462798674,5.379284771231116,5.208543274222851,5.353681536079726,5.160616301245492,5.258868139128897,5.1778605375473905,5.278320992172129,5.313801157464737,5.180678842944106,5.161880758282498,5.093051253972672,5.166563157307158,5.194782229244514,5.192858460308852,5.147524040351854,5.050774712294945,5.084352811150877,5.073582821331717,5.062602895629936,5.058666914106375,5.015247082620615,5.01909084120792,4.951860965373094,5.011071983044982,5.010909620326767,5.012410848613462,5.05213794199575,4.957707099241841,5.033680918260985,4.848211554695756,4.933957684815945,4.910601694939117,4.897406649093983,4.915018187898636,5.027362238304751,4.929656100271293,4.965499350197627,4.849045286783615,5.015617063005495,4.976435896735336,4.896206741525686,4.919107019225212,5.029516470246611,4.8730580778944415,4.972820225609875,4.798252725748636,4.907475976502374,4.959092340459174,4.9144878354949135
4,4.747671806545045,4.816176343274209,4.989456107627929,5.049295429345742,5.020423474657717,5.057224327938339,5.052838598490154,5.281880822414705,5.24472202392047,5.170519618481824,5.317569562239081,5.424649323442478,5.48722658942981,5.496015587835221,5.4688381683733525,5.523911805574625,5.4971706206432644,5.48692445075992,5.567588038306724,5.548568772107505,5.556056925873234,5.70140722193062,5.662313816361993,5.694188352483505,5.724726320153148,5.699332505919732,5.6887459652291605,5.686251948870713,5.717108841086319,5.695053812581919,5.723730465862533,5.76380298469795,5.642911810736484,5.684444993723694,5.780401766366915,5.619253567082001,5.652351407448525,5.73453684051904,5.593852651824475,5.638219534401296,5.562090011927458,5.6927086264023625,5.663278081083363,5.606377712624947,5.420501155631533,5.534612019896311,5.508681162873569,5.562349408951533,5.589914931851215,5.539665245813684,5.4074252679269,5.52038876009326,5.350974111160583,5.483339314374215,5.244633523704612,5.424400804829835,5.3091414595420705,5.362071323549476,5.406696017263188,5.302919233147293,5.287846992267538,5.201133010182639,5.292702762617584,5.298741108176754,5.272951179450075,5.272717258012594,5.176654800124263,5.2008778607273305,5.194120942764833,5.197650551195804,5.163727735293948,5.162321442050074,5.125095381138376,5.044288144136057,5.139904711379563,5.110552406274026,5.133222187404564,5.14954668360246,5.091223908947405,5.141326652294414,4.970576126516929,5.0387878330471025,5.016476779869976,4.9884424016276325,5.01951677680384,5.107462691120591,5.024661070706628,5.041593720654974,4.941765515776513,5.106197980878921,5.05685880124886,4.964905081764599,5.007356475794723,5.093299008305892,4.930816155745893,5.015986428173651,4.884658582645687,4.986064726003995,5.019260691673933,4.981824133646965
5,4.778305573867695,4.858033557631831,5.014695251135598,5.099770272441214,5.068792343205919,5.116658495541783,5.115645180706728,5.350375485782777,5.315841231125213,5.248382660145204,5.401812960624651,5.517808967300466,5.586234426167662,5.590913255442279,5.584109992721612,5.625357545729435,5.606674898985761,5.6129794236480155,5.701308007976192,5.674157367502527,5.686727337713412,5.825835744563685,5.799239517941773,5.8259300284473206,5.864430115208151,5.875895682439985,5.832230573714091,5.826208110782781,5.867424921862123,5.851142925540166,5.871556845524773,5.907859437892016,5.783112906420785,5.82789326745007,5.9252219052924415,5.771546406248073,5.813036748997104,5.881766735068411,5.70324092333175,5.772646311478517,5.71096643615468,5.831089391557858,5.777784769012028,5.717254957522668,5.558567183887064,5.664366933858934,5.627855522142342,5.693182672161865,5.71388690970193,5.654040739396204,5.538570503630531,5.638229171418324,5.489717171965887,5.594065312337117,5.388849317299547,5.514797209698694,5.45051171690834,5.4715731909613,5.496164821758643,5.390771091491604,5.406148280457215,5.308535133205518,5.4015855988789045,5.374957017645288,5.379931487104389,5.366391487204141,5.2935802743901155,5.3146216891137135,5.283198185113907,5.297648250180443,5.268489546553755,5.240541245913773,5.2043785177684825,5.160431119587486,5.2145327164042365,5.204819278186187,5.2156670617510255,5.231962302489344,5.176031336224355,5.220314382566196,5.0514644049898285,5.124267532724484,5.094487167436313,5.0768858914696064,5.1012154868201645,5.189342253909469,5.126700164778096,5.112035839129507,5.032566877404442,5.167767772518672,5.119410312685429,5.053526978353279,5.065652259019349,5.151684834152684,5.005011677717696,5.071723790767357,4.962202181613482,5.090515791680981,5.095433867658465,5.034356259861847
6,4.811707112845236,4.88396772574147,5.041595771731092,5.135646879214193,5.102481004548129,5.166206157256955,5.1777493982141705,5.4027580640646935,5.364157082357505,5.30917155524494,5.4682266444917715,5.587215819388103,5.665240286774547,5.670137854529656,5.664454958089774,5.708543652138642,5.69588122891304,5.71548808464388,5.801998869452637,5.778406130416174,5.798223497449727,5.941958850511419,5.920113375085265,5.938416464864416,5.969587679608778,5.999287265397333,5.943908297214293,5.937534829547367,6.0029285076543815,5.969526083914285,5.980917914363421,6.022997250244296,5.9109006071746615,5.946874693568834,6.045509505212423,5.883900538016302,5.915555838611459,5.99393687714845,5.823152380478437,5.887502239472345,5.830427609144669,5.9448182111854395,5.875806699876063,5.82609680301077,5.650088023286142,5.762360859666149,5.72966418558345,5.788072668803765,5.801164104352136,5.7537598148226925,5.652318975027805,5.707959601464654,5.596095665179753,5.692006380134892,5.475205959778994,5.610784035293918,5.5517308258621725,5.5743073530903615,5.57071300711029,5.463654300822147,5.499823421771541,5.41108494208056,5.49223522528125,5.468469121163229,5.45733697218421,5.462017019481875,5.378839423232175,5.399579891564295,5.369919472552474,5.385661223959371,5.331285617713849,5.3205983003999355,5.283060513828509,5.255587543024443,5.294320455418275,5.2984433345449835,5.294085378229761,5.301099769097305,5.247449628970185,5.281160900585182,5.134715074744255,5.19121629221286,5.1589016625759605,5.159501201216086,5.174623571161796,5.263740187483394,5.185082373158606,5.19078307947715,5.106946975762257,5.2235524910593725,5.183408619879405,5.126115507727646,5.119779216817566,5.200234790449333,5.0596179958139444,5.141834220514216,5.028812739976414,5.156846401299086,5.14813405884146,5.084056074318264
7,4.834138649390809,4.911260658519043,5.06598086260684,5.163440522502356,5.138527673155879,5.205028089846717,5.2280366073761195,5.4512524181596955,5.415158315410167,5.356092058710719,5.521501794636268,5.6471244915019465,5.729175035665268,5.73252009951047,5.746372895230031,5.787560948743799,5.763038262285852,5.7988874215302655,5.889832570105721,5.866790643485673,5.896830359041726,6.040590249332328,6.020455491101694,6.030609901506677,6.0615820380534675,6.097033641259705,6.037043000749906,6.03514509958005,6.10796155092497,6.065249589590949,6.075662134564679,6.108388237912751,6.011817588040548,6.050182923414556,6.14463783800595,5.980393530611577,6.018073597420524,6.085320438247615,5.929095578576915,5.981327409323224,5.933812565479975,6.037109395912934,5.969282857369037,5.917466755291698,5.741084866418936,5.843531379628946,5.8169945651278,5.865625182883184,5.873672829726912,5.844444319991443,5.740806126646065,5.787130186405822,5.694702924456782,5.773612725154296,5.546278216095461,5.689611223953903,5.636362960820909,5.6422072555132665,5.629430204118667,5.53028994414272,5.56376358477172,5.493015180884111,5.573236765760158,5.54547976768394,5.5185854093476365,5.540089034469857,5.436586260663382,5.461158708856338,5.424746607976795,5.460551429129038,5.383335039093058,5.402368230028845,5.356432096398175,5.3400940594199175,5.3525091880997575,5.36743448079129,5.343471603079946,5.377917645891206,5.305562330739897,5.341463919983766,5.189435500132847,5.273613176947618,5.219243036204869,5.214582093202971,5.226844127456987,5.314468253446782,5.247703671083571,5.238620819133763,5.166830111675652,5.279674560524424,5.259259342318829,5.188081055307225,5.162074877266913,5.258641080967019,5.123787442898606,5.20068829240582,5.097846604415696,5.200588961768562,5.177568403702848,5.1364061363381905
8,4.850936507374757,4.936446126254541,5.086468509487054,5.187092572021295,5.1577435456580565,5.240069556246313,5.269661474825971,5.495374431559366,5.451326955874768,5.397871061557969,5.565841452886284,5.694066522424048,5.786119403452065,5.783687716760386,5.81371391292039,5.848011737224531,5.824182902026413,5.876859287762727,5.962255884798271,5.9468329360233145,5.972740733385296,6.110557281852696,6.097774935703139,6.112019576255706,6.126495779109635,6.182290494215383,6.132965512054454,6.126395066136054,6.190502059276511,6.144043961115299,6.16404220505541,6.179155840316926,6.107779819676136,6.132847929491559,6.21592859801888,6.07864576954808,6.114980731100899,6.161432865624835,6.016800875945982,6.05819805662721,6.014260248322006,6.129495776473655,6.056918052180011,5.993777869000837,5.81802573671062,5.92258850449898,5.894153664180688,5.917602705515327,5.9481292131335115,5.919254372527197,5.823441013060438,5.861618610447104,5.767894092863907,5.832532794323576,5.614631266009028,5.759854396746667,5.705398372652466,5.699491187631719,5.682854243060607,5.599533346780063,5.630474717787017,5.560340460937352,5.631977738440871,5.613697467013431,5.601405887103403,5.599356896118443,5.5133149844922515,5.505963079412762,5.507663210867088,5.53746377837916,5.451528995328976,5.473156244067872,5.401915758557553,5.398225756720085,5.404191107205358,5.416842633085923,5.409568457372628,5.414306071265872,5.365239846929899,5.3823441546759225,5.239757163934615,5.321351069480326,5.270860583442636,5.285948997304409,5.298814464874574,5.354338166344106,5.298354694654344,5.277433985713658,5.203076958602508,5.334065825248135,5.272060182891931,5.228029214707644,5.215497657649133,5.303385884174777,5.161007631463703,5.23746971810614,5.137354911828625,5.235888939130905,5.204119916356427,5.1790436543139435
9,4.867824208569151,4.952915308767883,5.107351729637973,5.204486383817875,5.183949093425345,5.26253104831449,5.301345747784806,5.5306711665932,5.493754908705543,5.440257914808401,5.608024866577706,5.7392214202468805,5.831445642717131,5.8315668789231125,5.867552991504054,5.900729098810811,5.879949092395,5.943210792994436,6.030473393928829,6.015447437562383,6.038574939507695,6.178710863501598,6.170478730655894,6.182703817441395,6.197094674364529,6.250543334871145,6.209751016942152,6.202422860705493,6.261883962639415,6.207206687786282,6.235857053277396,6.242611646284015,6.184237035807462,6.206376361725689,6.286083440047665,6.161597569443364,6.1930333810454865,6.229092481780956,6.087768865052919,6.129808801963957,6.091343126209093,6.194481708111679,6.124184529625447,6.0657893036403285,5.892509953711141,5.995883314078397,5.954986373984375,5.968150520935506,6.003587260401349,5.986838233738689,5.897383742363792,5.915139788826084,5.834170824203243,5.899376537797032,5.676213436195941,5.804717463612286,5.763856840575647,5.7468510403424,5.737627981543697,5.66013537146165,5.674330311001278,5.613276919214813,5.692559373028466,5.6640965484782075,5.66108238872938,5.628276192176555,5.578026953538595,5.568525039195199,5.577600558279917,5.587948949078164,5.508398324083028,5.5339264473561425,5.460898566096255,5.437269321421653,5.471858359932335,5.457843505617428,5.453785702502524,5.453321385696447,5.400128673305618,5.416166522015273,5.290969435782191,5.360310859084604,5.318752173343065,5.333534232670632,5.359888263884955,5.39078874823463,5.341768046773796,5.3273421933002165,5.26302030844998,5.359830303003059,5.318123076057824,5.252780201645683,5.266458193437883,5.332433813412515,5.219276350527635,5.279305782998777,5.17840465549991,5.286171502647426,5.2366081869992,5.222165070784544
